管理番号,作家,間口,奥行,高さ,タイトル,価格,本文,"本文
文字数",,,,
,,,,,ランドセル,,,,,,,
3-15-020,恵翠作,41,27,39,"紙音雛親王飾りﾋﾟﾝｸ収納飾りセット一式
※つるし飾りと観葉植物は付きません。
収納","49,500",台屏風に桜の蒔絵を施したパステルカラーのピンク収納台セットです。コンパクトでお値打ちなかわいらしい人気のセットです。写真のようにつるし飾りをサイドにセットすると華やかさが一層増します。,92,,,,
3-03-229,一秀作,28,18,26,"さくらさくら神雛飾りセット一式
人気木目込女流作家","56,100",大きな桜の衝立屏風をバックに配したパステル調の衣裳がかわいらしい立雛です。簡単にお飾りいただけ場所も取らない春らしいセットです。季節の飾りとして大人が飾っていただいてもお楽しみいただけます。,95,,,,
3-17-058,真多呂作,39,22,20,"万福雛親王飾りセット一式
人気木目込作家","66,000",とってもコンパクトで笑顔がかわいい入れ目の木目込人形です。見るものに安らぎと温もりを与える木目込人形はいつの時代も変わらぬ人気のお雛様です。花柄の和紙屏風がアクセントになっています。,91,,,,
3-17-059,真多呂作,35,25,43,"木目込初音立雛収納飾りセット一式
収納
人気木目込作家","68,200",溜塗の収納台に収まる可愛いお衣裳の立雛です。こちらは伝統的工芸品として認定されたお人形です。伝統的工芸品とは経済産業大臣のお墨付きを受けた工芸品のことを指す高級品の証です。,86,,,,
3-15-019,雅泉作,51,36,44,"衣裳着親王刺繍毛氈付収納飾りセット一式
収納","73,700",表情豊かなお顔が人気です。赤い刺繍が付いた毛氈がアクセントになっていて写真のように収納台が半分に分かれ、片づける際も省スペースに収まるおしゃれで可憐なお雛様のセットです。,85,,,,
3-27-033,雛聖作,60,35,26,衣裳着真らく親王飾りセット一式,"118,800",木目を基調とした飾り台に金屏風がセットされています。全体的に明るく華やかな装いはひな祭りに相応しく、見ていて楽しくなるセットです。お雛様を飾る文化は世界に誇こる日本の伝統です。,88,,,,
3-17-069,俊斎作,60,40,60,"衣裳着親王収納飾りセット一式
","121,000",幅60cmのコンパクト飾りの収納サイズですがお雛様を極力大きくして見栄えをよくしました。絢爛豪華なお衣裳は華やかな印象を与えてくれます。屏風と飾り台にデザインされたマリ柄に桜の刺繍が目を引きます。毎年人気の高いシリーズです。,112,,,,
3-20-078,平安豊久作,45,30,23,"衣裳着親王飾りセット一式
※つるし飾りと観葉植物は付きません。","133,100",七宝文様の衣裳を身にまとったお雛様です。七宝とは仏教の教典に出てくる七種の宝のことで円形が永遠に連鎖し繋がるこの柄に円満・調和・ご縁などの願いが込められた縁起の良い柄です。殿が茶、姫がピンクのぼかしのアクセントが効いたかわいらしいセットです。,121,,,,
3-27-035,雛聖作,60,35,33,衣裳着真らく親王飾りセット一式,"139,700",木目を基調とした飾り台に刺繍を施した布地がアクセントになっている屏風をセットしています。お雛様の衣裳と前道具を同じ布地で揃えました。行灯とフラワーアレンジメントが特徴です。お雛様を飾る文化は世界に誇こる日本の伝統です。,109,,,,
3-20-066,平安豊久作,60,33,29,衣裳着親王飾りセット一式,"144,100",落ち着いた色合いのこの屏風は古美を表現するために古風な高級装飾紙を使用し仕上げた古代絹張り屏風です。唐草模様の衣裳は気品漂う装いで屏風や飾り台との相性もピッタリです。モダンなフラワーアレンジメントがおしゃれで人気です。,109,,,,
3-27-240,工房道翠,55,30,29,"衣裳着刺繍親王飾りセット一式
※羽子板と名前札は別売になります。","154,000",アイボリーホワイトとピンクの衣裳にはマリの可愛い刺繍が施されています。現代的な美男美女のお顔は昨年も大変人気が高く、お衣裳の雰囲気とぴったりマッチしたお顔です。屏風には三日月と桜の刺繍が施されたモダンなセットです。,107,,,,
3-08-009,吉藤工房,54,30,52,"衣裳着刺繍親王収納飾りセット一式
収納","157,300",白を基調とした衣裳には桜の可愛い刺繍が施されています。桐の表面に焼き色を付けた焼桐と言われる屏風と収納台をセットし、桜の豪華な刺繍がアクセントになっています。前飾りには螺鈿細工のお道具を配した豪華な雛飾りとなりました。,109,,,,
3-15-016,雅泉作,50,33,46,衣裳着雛浪漫親王収納飾りセット一式,"129,800",京都西陣織の衣裳は風格を感じさせてくれます。格子細工にすだれが取り付けられた屏風が特徴で、収納台にも格子細工が施されています。小さくても手を抜かない職人ならではのこだわりが表現されたセットです。,97,,,,
